image,brisque_score,niqe_score,width,height,resolution,images
https://i.pinimg.com/originals/70/2a/b3/702ab3cb939626462f39dde17ee1873e.jpg,53.81463623046875,5.160365941614015,1080,1920,1080x1920,https://i.pinimg.com/originals/70/2a/b3/702ab3cb939626462f39dde17ee1873e.jpg
https://i.pinimg.com/originals/73/5b/65/735b6567926c5f7e612eebd33cbf8f54.jpg,22.65740966796875,3.621029382450124,1000,1500,1000x1500,https://i.pinimg.com/originals/73/5b/65/735b6567926c5f7e612eebd33cbf8f54.jpg
https://i.pinimg.com/originals/76/65/bf/7665bf3e81c2e1ae99d13984ff3579b0.jpg,23.38397216796875,2.970303271604048,736,981,736x981,https://i.pinimg.com/originals/76/65/bf/7665bf3e81c2e1ae99d13984ff3579b0.jpg
https://i.pinimg.com/originals/7b/fd/6b/7bfd6b139b34428131a715677750bf89.jpg,14.40155029296875,2.997663591267324,1280,1600,1280x1600,https://i.pinimg.com/originals/7b/fd/6b/7bfd6b139b34428131a715677750bf89.jpg
https://i.pinimg.com/originals/84/52/d9/8452d918c043a5542fec4e5b711a9561.jpg,56.43572998046875,5.549074457257928,1080,1920,1080x1920,https://i.pinimg.com/originals/84/52/d9/8452d918c043a5542fec4e5b711a9561.jpg
https://i.pinimg.com/originals/84/52/d9/8452d918c043a5542fec4e5b711a9561.jpg,56.43572998046875,5.549074457257928,1080,1920,1080x1920,https://i.pinimg.com/originals/84/52/d9/8452d918c043a5542fec4e5b711a9561.jpg
https://i.pinimg.com/originals/9b/a1/eb/9ba1ebfabe26b3939920820d13508b62.jpg,15.86541748046875,2.435413797265716,1440,1798,1440x1798,https://i.pinimg.com/originals/9b/a1/eb/9ba1ebfabe26b3939920820d13508b62.jpg
https://i.pinimg.com/originals/a2/91/c4/a291c489f884946ab95edcb5ac1b6cea.jpg,25.36932373046875,3.858395958589276,474,842,474x842,https://i.pinimg.com/originals/a2/91/c4/a291c489f884946ab95edcb5ac1b6cea.jpg
https://i.pinimg.com/originals/ae/63/61/ae6361a600dad23ee788dc5d7027bd8c.png,18.51385498046875,4.022944261776401,564,751,564x751,https://i.pinimg.com/originals/ae/63/61/ae6361a600dad23ee788dc5d7027bd8c.png
https://i.pinimg.com/originals/b1/6b/59/b16b59f2431a74daacdf9035050928b4.jpg,29.20916748046875,4.462818842939731,736,1094,736x1094,https://i.pinimg.com/originals/b1/6b/59/b16b59f2431a74daacdf9035050928b4.jpg
https://i.pinimg.com/originals/b3/5c/80/b35c8010979213fe7bcdf7fadacae4f3.webp,22.88104248046875,3.1453417446198726,768,1408,768x1408,https://i.pinimg.com/originals/b3/5c/80/b35c8010979213fe7bcdf7fadacae4f3.webp
https://i.pinimg.com/originals/b5/a9/c8/b5a9c87180303f2bfa712ec409eb7dd5.jpg,7.80389404296875,2.2697938160047566,946,1327,946x1327,https://i.pinimg.com/originals/b5/a9/c8/b5a9c87180303f2bfa712ec409eb7dd5.jpg
https://i.pinimg.com/originals/b5/e7/31/b5e731afc3c0d44946bba20f4a669e6a.jpg,14.85955810546875,2.768766776961317,736,1308,736x1308,https://i.pinimg.com/originals/b5/e7/31/b5e731afc3c0d44946bba20f4a669e6a.jpg
https://i.pinimg.com/originals/b6/c9/9c/b6c99c8ba20a5fce6fd4c19e9f4022f4.webp,46.68768310546875,4.89732009919921,564,1001,564x1001,https://i.pinimg.com/originals/b6/c9/9c/b6c99c8ba20a5fce6fd4c19e9f4022f4.webp
https://i.pinimg.com/originals/bb/6f/58/bb6f58fa7c6c4c467d4f3ccb9773aefa.jpg,22.32733154296875,2.6326967724932393,800,1200,800x1200,https://i.pinimg.com/originals/bb/6f/58/bb6f58fa7c6c4c467d4f3ccb9773aefa.jpg
https://i.pinimg.com/originals/bd/e9/f6/bde9f6e1180912dc17fbcd316438eefe.jpg,43.36737060546875,4.645185606166293,737,1313,737x1313,https://i.pinimg.com/originals/bd/e9/f6/bde9f6e1180912dc17fbcd316438eefe.jpg
https://i.pinimg.com/originals/ca/60/f0/ca60f08162fce9eddfd26cae687548a2.jpg,60.86541748046875,4.667523890162686,736,1308,736x1308,https://i.pinimg.com/originals/ca/60/f0/ca60f08162fce9eddfd26cae687548a2.jpg
https://i.pinimg.com/originals/cd/fd/1c/cdfd1cefbc897de2ce3346326984c9ca.jpg,44.79022216796875,3.5915488922480527,736,917,736x917,https://i.pinimg.com/originals/cd/fd/1c/cdfd1cefbc897de2ce3346326984c9ca.jpg
https://i.pinimg.com/originals/d0/2b/84/d02b849327bd948c0d8ff6c776abfa0f.jpg,39.51092529296875,4.001176539395802,675,1200,675x1200,https://i.pinimg.com/originals/d0/2b/84/d02b849327bd948c0d8ff6c776abfa0f.jpg
https://i.pinimg.com/originals/d2/34/5f/d2345f4c30424d860b7a6916584b61bf.jpg,10.29803466796875,1.7432800392962242,800,1200,800x1200,https://i.pinimg.com/originals/d2/34/5f/d2345f4c30424d860b7a6916584b61bf.jpg
https://i.pinimg.com/originals/d4/08/b5/d408b54d77900f2797874b14450d8fbc.jpg,15.07440185546875,3.163321903916502,517,919,517x919,https://i.pinimg.com/originals/d4/08/b5/d408b54d77900f2797874b14450d8fbc.jpg
https://i.pinimg.com/originals/d4/09/1e/d4091edd1947871431d9a68cd857d33e.jpg,23.55389404296875,3.5559949172809744,1080,1920,1080x1920,https://i.pinimg.com/originals/d4/09/1e/d4091edd1947871431d9a68cd857d33e.jpg
https://i.pinimg.com/originals/de/92/94/de9294736f856cec6a993689f695d405.jpg,29.44842529296875,3.6703595503444606,1440,1800,1440x1800,https://i.pinimg.com/originals/de/92/94/de9294736f856cec6a993689f695d405.jpg
https://i.pinimg.com/originals/de/ce/94/dece94f167224a7a78aa6d257ac121fb.jpg,13.34295654296875,3.2209283005644873,800,1200,800x1200,https://i.pinimg.com/originals/de/ce/94/dece94f167224a7a78aa6d257ac121fb.jpg
https://i.pinimg.com/originals/ed/40/55/ed40551e595367ac3afd0d8380b8f39d.jpg,36.17694091796875,3.7154797074270087,1224,1632,1224x1632,https://i.pinimg.com/originals/ed/40/55/ed40551e595367ac3afd0d8380b8f39d.jpg
https://i.pinimg.com/originals/f2/38/e8/f238e8ac81c154f7143ab87758447987.jpg,9.32635498046875,3.15854018391949,1463,2048,1463x2048,https://i.pinimg.com/originals/f2/38/e8/f238e8ac81c154f7143ab87758447987.jpg
https://i.pinimg.com/originals/fe/ca/87/feca87b0182b26ef8e7202e04fa0a3d9.jpg,26.45721435546875,2.161127914568702,800,1200,800x1200,https://i.pinimg.com/originals/fe/ca/87/feca87b0182b26ef8e7202e04fa0a3d9.jpg
